Run,Time of Attack,Duration of Attack,Strategy 1 J,Strategy 2 J,Strategy 1 S/U,Strategy 1 S/U
1,1.2,1,69.23,65.926,4.8184,5.3
2,2.13,1,69.449,65.975,4.8052,5.2848
3,3.06,1,70.038,65.85,4.7924,5.292
4,4,1,69.996,66.015,4.7888,5.2797
5,4.93,1,70.065,65.875,4.7917,5.2866
6,5.87,1,70.084,65.896,4.792,5.2856
7,6.8,1,70.097,65.877,4.7916,5.2862
8,7.73,1,70.141,65.874,4.79,5.2864
9,8.67,1,70.158,65.877,4.7873,5.2862
10,9.6,1,70.205,65.876,4.7825,5.2863
1,1.2,2,73.816,66.194,4.5604,5.3013
2,2.13,2,74.349,66.063,4.5428,5.2832
3,3.06,2,76.162,65.85,4.5654,5.2962
4,4,2,75.998,66.256,4.5509,5.268
5,4.93,2,76.251,65.876,4.5588,5.2868
6,5.87,2,76.421,65.949,4.5596,5.2831
7,6.8,2,76.503,65.881,4.5532,5.2859
8,7.73,2,76.818,65.876,4.5438,5.2864
9,8.67,2,76.969,65.88,4.5252,5.286
10,9.6,2,77.309,65.875,4.4972,5.2863
1,1.2,3,79.611,66.852,4.4419,5.2822
2,2.13,3,80.467,66.161,4.4182,5.2803
3,3.06,3,84.039,65.893,4.4986,5.298
4,4,3,83.688,66.654,4.4662,5.2485
5,4.93,3,84.229,65.876,4.4769,5.2871
6,5.87,3,84.811,66.044,4.4785,5.2784
7,6.8,3,85.058,65.891,4.4564,5.2854
8,7.73,3,86.058,65.882,4.4315,5.2861
9,8.67,3,86.574,65.884,4.3782,5.2858
10,9.6,3,87.675,65.875,4.3051,5.2863
1,1.2,4,86.538,68.264,4.4228,5.2265
2,2.13,4,87.652,66.304,4.3856,5.2744
3,3.06,4,93.431,65.989,4.5324,5.2969
4,4,4,92.844,67.278,4.4757,5.2183
5,4.93,4,93.765,65.874,4.4842,5.2874
6,5.87,4,95.134,66.199,4.4864,5.2707
7,6.8,4,95.68,65.908,4.4374,5.2845
8,7.73,4,97.94,65.895,4.389,5.2855
9,8.67,4,99.164,65.891,4.2821,5.2854
10,9.6,4,101.69,65.875,4.1456,5.2863
1,1.2,5,94.511,70.896,4.4752,5.1197
2,2.13,5,95.764,66.534,4.4146,5.2634
3,3.06,5,104.12,66.148,4.6277,5.2924
4,4,5,103.27,68.196,4.5409,5.1752
5,4.93,5,104.66,65.873,4.5407,5.2876
6,5.87,5,107.28,66.435,4.5427,5.259
7,6.8,5,108.3,65.936,4.4554,5.2831
8,7.73,5,112.53,65.916,4.3757,5.2844
9,8.67,5,114.92,65.9,4.2004,5.285
10,9.6,5,119.73,65.875,3.9909,5.2863
1,1.2,6,103.44,75.247,4.5786,4.9591
2,2.13,6,104.68,66.896,4.4837,5.2452
3,3.06,6,115.9,66.373,4.758,5.2843
4,4,6,114.8,69.476,4.636,5.1178
5,4.93,6,116.75,65.877,4.6202,5.2876
6,5.87,6,121.17,66.774,4.6203,5.2424
7,6.8,6,122.88,65.977,4.4847,5.2809
8,7.73,6,129.9,65.949,4.3675,5.2828
9,8.67,6,134.02,65.911,4.115,5.2844
10,9.6,6,142.17,65.875,3.8324,5.2863
1,1.2,7,113.23,81.789,4.7178,4.7574
2,2.13,7,114.27,67.434,4.5775,5.2181
3,3.06,7,128.6,66.663,4.9052,5.2729
4,4,7,127.3,71.179,4.7442,5.0464
5,4.93,7,129.9,65.891,4.7059,5.2869
6,5.87,7,136.73,67.234,4.7019,5.2202
7,6.8,7,139.4,66.034,4.5102,5.278
8,7.73,7,150.13,65.997,4.3518,5.2803
9,8.67,7,156.7,65.925,4.0202,5.2837
10,9.6,7,169.41,65.875,3.6717,5.2863
1,1.2,8,123.8,90.935,4.8814,4.5379
2,2.13,8,124.46,68.193,4.6856,5.1808
3,3.06,8,142.09,67.015,5.0571,5.2584
4,4,8,140.67,73.354,4.8544,4.9624
5,4.93,8,144.03,65.924,4.7878,5.2853
6,5.87,8,153.95,67.833,4.7774,5.192
7,6.8,8,157.89,66.108,4.5246,5.2743
8,7.73,8,173.36,66.062,4.3237,5.277
9,8.67,8,183.2,65.941,3.9167,5.2829
10,9.6,8,201.9,65.876,3.5133,5.2863
1,1.2,9,135.08,103.01,5.0611,4.3239
2,2.13,9,135.19,69.216,4.8009,5.1326
3,3.06,9,156.25,67.42,5.2065,5.2415
4,4,9,154.85,76.041,4.9604,4.8685
5,4.93,9,159.11,65.98,4.8607,5.2825
6,5.87,9,172.82,68.582,4.8417,5.1577
7,6.8,9,178.43,66.198,4.5256,5.2698
8,7.73,9,199.74,66.147,4.2831,5.2728
9,8.67,9,213.83,65.959,3.8081,5.2819
10,9.6,9,240.17,65.877,3.3617,5.2862
1,1.2,10,147.01,118.24,5.2513,4.1313
2,2.13,10,146.41,70.544,4.9198,5.0732
3,3.06,10,171.02,67.87,5.3493,5.2226
4,4,10,169.82,79.27,5.0594,4.7679
5,4.93,10,175.12,66.065,4.9228,5.2782
6,5.87,10,193.38,69.489,4.8932,5.1179
7,6.8,10,201.12,66.305,4.5142,5.2645
8,7.73,10,229.47,66.252,4.2323,5.2675
9,8.67,10,248.98,65.979,3.6983,5.2809
10,9.6,10,284.84,65.879,3.22,5.2861
